instruction,response,category
How do I reset my password?,"To reset your password, please follow these steps: 1) Go to the login page, 2) Click on 'Forgot Password', 3) Enter your email address, 4) Check your email for a reset link, 5) Click the link and create a new password. If you don't receive the email within 5 minutes, please check your spam folder.",Account Management
I want to cancel my subscription,"We're sorry to hear you want to cancel. To cancel your subscription: 1) Log into your account, 2) Go to 'Account Settings', 3) Select 'Subscription', 4) Click 'Cancel Subscription'. Your access will continue until the end of your current billing period. Is there anything we can help with to improve your experience?",Billing
Where is my order? It's been 2 weeks since I placed it.,"I apologize for the delay with your order. Let me look into this for you. Please provide your order number and I'll check the shipping status immediately. Typically, orders ship within 3-5 business days, but delays can occur during peak periods. Once I have your order details, I can provide you with tracking information and estimated delivery date.",Shipping & Delivery
The product I received is damaged. What should I do?,"I'm very sorry to hear your product arrived damaged. We want to make this right for you. Please send us photos of the damage and your order number. We'll arrange either a replacement or full refund, whichever you prefer. We'll also provide a prepaid return label for the damaged item. Your satisfaction is our priority.",Returns & Refunds
How do I change my shipping address?,"To update your shipping address: 1) Log into your account, 2) Navigate to 'Account Settings', 3) Select 'Addresses', 4) Click 'Edit' next to the address you want to change, or 'Add New Address'. If you have an order in progress, please contact us immediately so we can update it before shipping.",Account Management
I was charged twice for my order,"I sincerely apologize for the duplicate charge. This can sometimes happen due to a processing error. Don't worry - I'll investigate this right away. Please provide your order number and the last 4 digits of the card used. We'll initiate a refund for the duplicate charge within 3-5 business days.",Billing
What are your business hours?,"Our customer support team is available Monday through Friday, 9 AM to 6 PM EST. For urgent issues outside these hours, you can email us and we'll respond first thing the next business day. You can also check our FAQ section for immediate answers to common questions.",General Inquiry
The app keeps crashing when I try to login,"I'm sorry you're experiencing issues with the app. Let's troubleshoot this together: 1) First, try clearing the app cache, 2) Ensure you have the latest version installed, 3) Restart your device, 4) Try uninstalling and reinstalling the app. If the issue persists, please let me know your device model and OS version so our technical team can investigate further.",Technical Support
I need an invoice for my purchase,"Certainly! I can help you get your invoice. You can access all your invoices by: 1) Logging into your account, 2) Going to 'Order History', 3) Clicking on the specific order, 4) Selecting 'Download Invoice'. If you need a modified invoice for business purposes, please let me know the required details.",Billing
What is your return policy?,"Our return policy allows returns within 30 days of purchase for most items. Products must be in original condition with tags attached. To initiate a return: 1) Log into your account, 2) Go to 'Order History', 3) Select the order, 4) Click 'Return Items'. We'll provide a prepaid shipping label. Refunds are processed within 5-7 business days after we receive the item.",Returns & Refunds
I forgot my username,"No problem! You can recover your username by: 1) Going to the login page, 2) Clicking 'Forgot Username', 3) Entering the email address associated with your account. We'll send your username to that email. If you don't have access to that email anymore, please contact us with your account verification details.",Account Management
Can I change my order after placing it?,"You can modify your order within 1 hour of placing it, before it enters processing. To make changes: 1) Go to 'Order History', 2) Find your order, 3) Click 'Modify Order'. After this window, please contact us immediately and we'll do our best to accommodate your request if the order hasn't shipped yet.",Shipping & Delivery
How do I apply a promo code?,"To apply a promo code: 1) Add items to your cart, 2) Proceed to checkout, 3) Look for the 'Promo Code' or 'Discount Code' field, 4) Enter your code and click 'Apply'. The discount will be reflected in your total. Note that some codes have exclusions or minimum purchase requirements.",Product Information
Why was my payment declined?,"Payment declines can happen for several reasons: 1) Incorrect card details, 2) Insufficient funds, 3) Card expiration, 4) Bank security blocks. Please verify your card information and try again. If the issue persists, contact your bank to ensure they're not blocking the transaction. You can also try an alternative payment method.",Billing
How long does shipping take?,"Shipping times vary by location: Standard shipping (5-7 business days), Express shipping (2-3 business days), Overnight shipping (next business day). You can select your preferred shipping method at checkout. Note that these are estimates and may vary during peak seasons or due to carrier delays.",Shipping & Delivery
The website is not loading properly,"I apologize for the inconvenience with our website. Please try these steps: 1) Clear your browser cache and cookies, 2) Try a different browser, 3) Disable browser extensions, 4) Check your internet connection. If the issue continues, please let me know your browser type and version so we can investigate. You can also try our mobile app as an alternative.",Technical Support
I received the wrong item in my order,"I'm so sorry for this error. Please don't worry - we'll fix this right away. Could you please send us: 1) Your order number, 2) A photo of the item you received, 3) The correct item you ordered. We'll ship the correct item immediately and arrange a return pickup for the wrong item at no cost to you.",Returns & Refunds
How do I track my order?,"You can track your order by: 1) Logging into your account, 2) Going to 'Order History', 3) Clicking on your order, 4) Selecting 'Track Package'. You can also use the tracking link sent to your email. If you don't see tracking info, your order may still be processing. Tracking updates typically appear within 24-48 hours of shipping.",Shipping & Delivery
Can I get a refund to my original payment method?,"Yes, refunds are processed to your original payment method by default. Credit/debit card refunds typically appear within 5-7 business days. Bank processing times may vary. If you paid with a gift card, the refund will be added back to your gift card balance. Let me know if you need any other assistance with your refund.",Returns & Refunds
